elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
977,/birthday-horoscope/aries,200,OK,Birthday Page - Thread Group 1-1,text,true,208053,143,1,1,https://new.horoscope.com/birthday-horoscope/aries,860,414
1637,/us/games/divination/game-magic-8-ball.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,210254,161,2,2,https://new.horoscope.com/us/games/divination/game-magic-8-ball.aspx,1507,281
1113,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-2,text,true,227319,180,2,2,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=1,964,296
507,/birthday-horoscope/taurus,200,OK,Birthday Page - Thread Group 1-1,text,true,208054,144,2,2,https://new.horoscope.com/birthday-horoscope/taurus,406,237
1093,/birth-chart/,200,OK,Birthday Page - Thread Group 1-1,text,true,39383,121,3,3,https://sites.horoscope.com/,1078,673
1498,/us/tarot/tarot-angel.aspx,200,OK,Birthday Page - Thread Group 1-2,text,true,213578,144,3,3,https://new.horoscope.com/us/tarot/tarot-angel.aspx,1368,275
615,/birthday-horoscope/leo,200,OK,Birthday Page - Thread Group 1-1,text,true,207813,141,3,3,https://new.horoscope.com/birthday-horoscope/leo,487,263
588,/birthday-horoscope/virgo,200,OK,Birthday Page - Thread Group 1-2,text,true,208070,143,3,3,https://new.horoscope.com/birthday-horoscope/virgo,458,287
1677,/us/games/index-games-love.aspx,200,OK,Birthday Page - Thread Group 1-3,text,true,210471,149,3,3,https://new.horoscope.com/us/games/index-games-love.aspx,1524,289
1071,/fr/index.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,193099,132,3,3,https://new.horoscope.com/fr/index.aspx,943,291
553,/birthday-horoscope/aquarius,200,OK,Birthday Page - Thread Group 1-4,text,true,207985,146,4,4,https://new.horoscope.com/birthday-horoscope/aquarius,451,256
1505,/zodiac-signs/taurus,200,OK,Birthday Page - Thread Group 1-2,text,true,216092,138,4,4,https://new.horoscope.com/zodiac-signs/taurus,1309,290
1807,/us/horoscopes/yearly/2023-horoscope-aries.aspx,200,OK,Birthday Page - Thread Group 1-3,text,true,205198,165,4,4,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-aries.aspx,1675,282
2510,/us/games/divination/game-cupids-oracle.aspx,200,OK,Birthday Page - Thread Group 1-1,text,false,210984,162,5,5,https://new.horoscope.com/us/games/divination/game-cupids-oracle.aspx,2411,245
874,/birthday-horoscope/scorpio,200,OK,Birthday Page - Thread Group 1-1,text,true,207874,145,5,5,https://new.horoscope.com/birthday-horoscope/scorpio,702,289
2764,/us/games/divination/game-ask-genie.aspx,200,OK,Birthday Page - Thread Group 1-2,text,false,209500,158,5,5,https://new.horoscope.com/us/games/divination/game-ask-genie.aspx,2634,298
2001,/zodiac-signs/gemini,200,OK,Birthday Page - Thread Group 1-3,text,true,216836,138,5,5,https://new.horoscope.com/zodiac-signs/gemini,1861,281
2945,/us/horoscopes/general/horoscope-overview-daily-today.aspx,200,OK,Birthday Page - Thread Group 1-4,text,false,218108,176,5,5,https://new.horoscope.com/us/horoscopes/general/horoscope-overview-daily-today.aspx,2801,327
435,/mercury-retrograde/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1578,138,5,5,https://new.horoscope.com/mercury-retrograde/,435,281
570,/birthday-horoscope/gemini,200,OK,Birthday Page - Thread Group 1-3,text,true,208130,144,6,6,https://new.horoscope.com/birthday-horoscope/gemini,442,275
2377,/us/sitemap.aspx,200,OK,Birthday Page - Thread Group 1-5,text,true,67912,134,6,6,https://new.horoscope.com/us/sitemap.aspx,2318,295
415,/celebrities/,404,Not Found,Birthday Page - Thread Group 1-3,text,false,1578,131,6,6,https://new.horoscope.com/celebrities/,415,270
1696,/us/games/divination/game-luck-meter.aspx,200,OK,Birthday Page - Thread Group 1-2,text,true,210722,159,6,6,https://new.horoscope.com/us/games/divination/game-luck-meter.aspx,1529,278
1681,/tarot/tarot-yes-no.aspx,200,OK,Birthday Page - Thread Group 1-4,text,true,212305,142,6,6,https://new.horoscope.com/tarot/tarot-yes-no.aspx,1505,282
1865,/psychics/tarot.html,200,OK,Birthday Page - Thread Group 1-1,text,true,193532,138,6,6,https://new.horoscope.com/psychics/tarot.html,1736,260
1659,/us/games/divination/game-love-fairy.aspx,200,OK,Birthday Page - Thread Group 1-6,text,true,213009,159,6,6,https://new.horoscope.com/us/games/divination/game-love-fairy.aspx,1522,282
1335,/us/about-us.aspx,200,OK,Birthday Page - Thread Group 1-5,text,true,203405,135,6,6,https://new.horoscope.com/us/about-us.aspx,1202,249
362,/images-US/horoscope-logo.svg,200,OK,Birthday Page - Thread Group 1-5,text,true,4270,147,7,7,https://new.horoscope.com/images-US/horoscope-logo.svg,362,298
2125,/us/tarot/tarot-daily.aspx,200,OK,Birthday Page - Thread Group 1-3,text,true,212184,144,7,7,https://new.horoscope.com/us/tarot/tarot-daily.aspx,1992,285
2398,/us/horoscopes/numerology/index-horoscope-numerology.aspx,200,OK,Birthday Page - Thread Group 1-2,text,true,222682,175,7,7,https://new.horoscope.com/us/horoscopes/numerology/index-horoscope-numerology.aspx,2250,290
2862,/us/privacy.aspx,200,OK,Birthday Page - Thread Group 1-1,text,false,242213,134,8,8,https://new.horoscope.com/us/privacy.aspx,2699,268
3358,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-4,text,false,220592,177,8,8,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=1,3222,276
3202,/us/planets/index.html,200,OK,Birthday Page - Thread Group 1-6,text,false,214899,140,8,8,https://new.horoscope.com/us/planets/index.html,3062,292
831,/birthday-horoscope/libra,200,OK,Birthday Page - Thread Group 1-4,text,true,207853,143,8,8,https://new.horoscope.com/birthday-horoscope/libra,672,257
3836,/us/tarot/tarot-today-tomorrow.aspx,200,OK,Birthday Page - Thread Group 1-7,text,false,211611,153,8,8,https://new.horoscope.com/us/tarot/tarot-today-tomorrow.aspx,3701,290
587,/psychics/psychics.html,200,OK,Birthday Page - Thread Group 1-4,text,true,193741,141,8,8,https://new.horoscope.com/psychics/psychics.html,458,293
4567,/zodiac-signs/virgo,200,OK,Birthday Page - Thread Group 1-5,text,false,215367,137,9,9,https://new.horoscope.com/zodiac-signs/virgo,4430,261
4085,/us/tarot/index-tarot-reading-love.aspx,200,OK,Birthday Page - Thread Group 1-3,text,false,209756,157,9,9,https://new.horoscope.com/us/tarot/index-tarot-reading-love.aspx,3947,288
868,/us/index.aspx,200,OK,Birthday Page - Thread Group 1-3,text,true,210596,132,9,9,https://new.horoscope.com/us/index.aspx,762,230
944,/birthday-horoscope/pisces,200,OK,Birthday Page - Thread Group 1-5,text,true,208202,144,9,9,https://new.horoscope.com/birthday-horoscope/pisces,803,305
4023,/us/tarot/index-tarot-reading.aspx,200,OK,Birthday Page - Thread Group 1-2,text,false,222124,152,9,9,https://new.horoscope.com/us/tarot/index-tarot-reading.aspx,3907,248
3126,/us/tarot/index-tarot-reading-unique.aspx,200,OK,Birthday Page - Thread Group 1-1,text,false,209906,159,9,9,https://new.horoscope.com/us/tarot/index-tarot-reading-unique.aspx,2987,291
1816,/us/advertise.aspx,200,OK,Birthday Page - Thread Group 1-7,text,true,205919,136,9,9,https://new.horoscope.com/us/advertise.aspx,1684,285
1704,/us/games/divination/game-crystal-ball.aspx,200,OK,Birthday Page - Thread Group 1-4,text,true,210047,161,9,9,https://new.horoscope.com/us/games/divination/game-crystal-ball.aspx,1571,299
3676,/zodiac-signs/pisces,200,OK,Birthday Page - Thread Group 1-8,text,false,216043,138,9,9,https://new.horoscope.com/zodiac-signs/pisces,3536,262
1689,/us/games/index-games-instant-advice.aspx,200,OK,Birthday Page - Thread Group 1-9,text,true,209133,159,9,9,https://new.horoscope.com/us/games/index-games-instant-advice.aspx,1551,290
2860,/us/games/divination/game-love-cookie.aspx,200,OK,Birthday Page - Thread Group 1-6,text,false,209901,160,9,9,https://new.horoscope.com/us/games/divination/game-love-cookie.aspx,2700,282
306,/images-US/psychic/quote.png,200,OK,Birthday Page - Thread Group 1-3,bin,true,980,146,9,9,https://new.horoscope.com/images-US/psychic/quote.png,306,223
500,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-5,text,true,229983,182,10,10,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=1,392,247
538,/psychics/love.html,200,OK,Birthday Page - Thread Group 1-7,text,true,193742,137,10,10,https://new.horoscope.com/psychics/love.html,418,247
499,/birthday-horoscope/cancer,200,OK,Birthday Page - Thread Group 1-6,text,true,207869,144,10,10,https://new.horoscope.com/birthday-horoscope/cancer,395,251
399,/astrology/,404,Not Found,Birthday Page - Thread Group 1-3,text,false,1578,129,10,10,https://new.horoscope.com/astrology/,399,245
727,/us/tos.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,255710,130,10,10,https://new.horoscope.com/us/tos.aspx,520,258
1519,/zodiac-signs/aries,200,OK,Birthday Page - Thread Group 1-4,text,true,214870,137,10,10,https://new.horoscope.com/zodiac-signs/aries,1387,256
1542,/us/tarot/tarot-lovers-triangle.aspx,200,OK,Birthday Page - Thread Group 1-9,text,true,212528,154,10,10,https://new.horoscope.com/us/tarot/tarot-lovers-triangle.aspx,1406,294
1561,/zodiac-signs/cancer,200,OK,Birthday Page - Thread Group 1-8,text,true,216592,138,10,10,https://new.horoscope.com/zodiac-signs/cancer,1422,297
1687,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-2,text,true,230234,176,10,10,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=1,1547,296
1331,/us/games/index-games.aspx,200,OK,Birthday Page - Thread Group 1-10,text,true,216512,144,10,10,https://new.horoscope.com/us/games/index-games.aspx,1221,234
1213,/zodiac-signs/leo,200,OK,Birthday Page - Thread Group 1-7,text,true,215146,135,10,10,https://new.horoscope.com/zodiac-signs/leo,1080,261
1316,/tarot/tarot-card-meaning/the-star,200,OK,Birthday Page - Thread Group 1-5,text,true,214780,152,10,10,https://new.horoscope.com/tarot/tarot-card-meaning/the-star,1163,298
1180,/us/tarot/tarot-money-oracle.aspx,200,OK,Birthday Page - Thread Group 1-6,text,true,213465,151,10,10,https://new.horoscope.com/us/tarot/tarot-money-oracle.aspx,1047,257
559,/psychics,200,OK,Birthday Page - Thread Group 1-2,text,true,193767,127,10,10,https://new.horoscope.com/psychics,429,287
2232,/us/tarot/tarot-love-potential.aspx,200,OK,Birthday Page - Thread Group 1-3,text,true,213828,153,11,11,https://new.horoscope.com/us/tarot/tarot-love-potential.aspx,2074,260
2172,/us/horoscopes/chinese/index-horoscope-chinese.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,214989,169,11,11,https://new.horoscope.com/us/horoscopes/chinese/index-horoscope-chinese.aspx,1985,251
1282,/us/team.aspx,200,OK,Birthday Page - Thread Group 1-7,text,true,202596,131,11,11,https://new.horoscope.com/us/team.aspx,1175,248
1495,/us/emails/email-subscription.aspx,200,OK,Birthday Page - Thread Group 1-4,text,true,200955,152,11,11,https://new.horoscope.com/us/emails/email-subscription.aspx,1367,268
1482,/us/games/divination/game-magic-love-ball.aspx,200,OK,Birthday Page - Thread Group 1-9,text,true,210280,164,11,11,https://new.horoscope.com/us/games/divination/game-magic-love-ball.aspx,1349,292
1472,/zodiac-signs/capricorn,200,OK,Birthday Page - Thread Group 1-8,text,true,216463,141,11,11,https://new.horoscope.com/zodiac-signs/capricorn,1328,302
1344,/us/games/index-games-fortune-teller.aspx,200,OK,Birthday Page - Thread Group 1-5,text,true,207832,159,11,11,https://new.horoscope.com/us/games/index-games-fortune-teller.aspx,1198,282
1517,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-10,text,true,219957,176,11,11,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=1,1369,284
521,/articles,200,OK,Birthday Page - Thread Group 1-3,text,true,213929,127,11,11,https://new.horoscope.com/articles,415,255
398,/horoscope-dates/,404,Not Found,Birthday Page - Thread Group 1-7,text,false,1578,135,11,11,https://new.horoscope.com/horoscope-dates/,398,255
752,/birthday-horoscope/capricorn,200,OK,Birthday Page - Thread Group 1-10,text,true,208108,147,11,11,https://new.horoscope.com/birthday-horoscope/capricorn,614,284
1775,/us/tarot/tarot-monthly.aspx,200,OK,Birthday Page - Thread Group 1-2,text,true,212252,146,11,11,https://new.horoscope.com/us/tarot/tarot-monthly.aspx,1643,292
2291,/us/horoscopes/wellness/horoscope-wellness-daily-today.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-6,text,true,229443,184,11,11,https://new.horoscope.com/us/horoscopes/wellness/horoscope-wellness-daily-today.aspx?sign=1,2104,271
2041,/us/games/divination/game-fortune-cookie.aspx,200,OK,Birthday Page - Thread Group 1-1,text,true,209317,163,12,12,https://new.horoscope.com/us/games/divination/game-fortune-cookie.aspx,1938,262
2593,/us/games/compatibility/game-name-compatibility.aspx,200,OK,Birthday Page - Thread Group 1-11,text,false,214700,170,12,12,https://new.horoscope.com/us/games/compatibility/game-name-compatibility.aspx,2454,291
1863,/us/games/compatibility/game-friendship-compatibility.aspx,200,OK,Birthday Page - Thread Group 1-5,text,true,211230,176,12,12,https://new.horoscope.com/us/games/compatibility/game-friendship-compatibility.aspx,1757,255
1954,/love/compatibility,200,OK,Birthday Page - Thread Group 1-9,text,true,212117,137,12,12,https://new.horoscope.com/love/compatibility,1816,288
1967,/zodiac-signs/libra,200,OK,Birthday Page - Thread Group 1-8,text,true,216599,137,12,12,https://new.horoscope.com/zodiac-signs/libra,1821,285
1675,/zodiac-signs,200,OK,Birthday Page - Thread Group 1-3,text,true,246141,131,12,12,https://new.horoscope.com/zodiac-signs,1524,289
2050,/us/tarot/tarot-true-love.aspx,200,OK,Birthday Page - Thread Group 1-4,text,true,211306,148,12,12,https://new.horoscope.com/us/tarot/tarot-true-love.aspx,1877,259
371,/saturn-return/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1578,133,12,12,https://new.horoscope.com/saturn-return/,371,228
1345,/us/games/index-games-compatibility.aspx,200,OK,Birthday Page - Thread Group 1-2,text,true,208786,158,12,12,https://new.horoscope.com/us/games/index-games-compatibility.aspx,1234,260
1884,/us/horoscopes/money/horoscope-money-weekly.aspx?sign=1,200,OK,Birthday Page - Thread Group 1-7,text,true,220177,173,12,12,https://new.horoscope.com/us/horoscopes/money/horoscope-money-weekly.aspx?sign=1,1778,254
1408,/zodiac-signs/scorpio,200,OK,Birthday Page - Thread Group 1-10,text,true,215539,139,12,12,https://new.horoscope.com/zodiac-signs/scorpio,1266,292
574,/birthday-horoscope/sagittarius,200,OK,Birthday Page - Thread Group 1-3,text,true,208070,149,12,12,https://new.horoscope.com/birthday-horoscope/sagittarius,437,291
1830,/birthday-horoscope.aspx,200,OK,Birthday Page - Thread Group 1-6,text,true,212305,142,12,12,https://new.horoscope.com/birthday-horoscope.aspx,1726,256
975,/us/tarot/index-tarot-reading-forecast.aspx,200,OK,Birthday Page - Thread Group 1-11,text,true,207679,161,12,12,https://new.horoscope.com/us/tarot/index-tarot-reading-forecast.aspx,842,300
968,/zodiac-signs/sagittarius,200,OK,Birthday Page - Thread Group 1-5,text,true,216181,143,12,12,https://new.horoscope.com/zodiac-signs/sagittarius,833,284
1604,/us/tarot/tarot-daily-love.aspx,200,OK,Birthday Page - Thread Group 1-12,text,true,213780,149,12,12,https://new.horoscope.com/us/tarot/tarot-daily-love.aspx,1459,298
605,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=6,200,OK,Birthday Page - Thread Group 1-10,text,true,230822,176,12,12,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=6,447,295
584,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=7,200,OK,Birthday Page - Thread Group 1-3,text,true,230245,176,12,12,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=7,445,292
1187,/us/feedback.aspx,200,OK,Birthday Page - Thread Group 1-4,text,true,204274,135,12,12,https://new.horoscope.com/us/feedback.aspx,1058,285
984,/zodiac-signs/aquarius,200,OK,Birthday Page - Thread Group 1-1,text,true,215125,140,12,12,https://new.horoscope.com/zodiac-signs/aquarius,879,260
1316,/us/tarot/tarot-past-lives.aspx,200,OK,Birthday Page - Thread Group 1-9,text,true,214174,149,12,12,https://new.horoscope.com/us/tarot/tarot-past-lives.aspx,1173,291
1343,/quote-of-the-day,200,OK,Birthday Page - Thread Group 1-8,text,true,209340,135,13,13,https://new.horoscope.com/quote-of-the-day,1173,281
528,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=9,200,OK,Birthday Page - Thread Group 1-11,text,true,230295,176,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=9,420,276
610,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=8,200,OK,Birthday Page - Thread Group 1-6,text,true,230741,176,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=8,462,290
600,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=2,200,OK,Birthday Page - Thread Group 1-5,text,true,230416,176,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=2,448,288
576,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=3,200,OK,Birthday Page - Thread Group 1-10,text,true,230347,176,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=3,429,261
514,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=5,200,OK,Birthday Page - Thread Group 1-3,text,true,230737,176,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=5,404,256
592,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=4,200,OK,Birthday Page - Thread Group 1-4,text,true,230301,176,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=4,453,294
576,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=8,200,OK,Birthday Page - Thread Group 1-9,text,true,227416,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=8,439,266
600,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=9,200,OK,Birthday Page - Thread Group 1-13,text,true,227721,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=9,465,297
603,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=6,200,OK,Birthday Page - Thread Group 1-8,text,true,227378,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=6,458,290
538,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=5,200,OK,Birthday Page - Thread Group 1-5,text,true,227393,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=5,425,258
585,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=4,200,OK,Birthday Page - Thread Group 1-6,text,true,227865,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=4,441,291
592,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=2,200,OK,Birthday Page - Thread Group 1-10,text,true,227840,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=2,447,297
733,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=7,200,OK,Birthday Page - Thread Group 1-11,text,true,227797,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=7,589,270
1963,/us/horoscopes/yearly/2023-horoscope-virgo.aspx,200,OK,Birthday Page - Thread Group 1-2,text,true,205312,165,13,13,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-virgo.aspx,1830,284
509,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=11,200,OK,Birthday Page - Thread Group 1-8,text,true,229774,183,13,13,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=11,400,246
582,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=9,200,OK,Birthday Page - Thread Group 1-9,text,true,220192,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=9,472,262
603,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=7,200,OK,Birthday Page - Thread Group 1-13,text,true,220484,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=7,495,262
742,/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=3,200,OK,Birthday Page - Thread Group 1-4,text,true,227793,180,13,13,https://new.horoscope.com/us/horoscopes/career/horoscope-career-daily-today.aspx?sign=3,599,258
657,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=8,200,OK,Birthday Page - Thread Group 1-5,text,true,220469,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=8,519,289
597,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=6,200,OK,Birthday Page - Thread Group 1-10,text,true,220533,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=6,489,255
595,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=12,200,OK,Birthday Page - Thread Group 1-11,text,true,229713,183,13,13,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=12,457,289
596,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=10,200,OK,Birthday Page - Thread Group 1-2,text,true,229681,183,13,13,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=10,450,263
794,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=5,200,OK,Birthday Page - Thread Group 1-6,text,true,220511,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=5,650,252
646,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=4,200,OK,Birthday Page - Thread Group 1-9,text,true,220659,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=4,513,293
714,/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=3,200,OK,Birthday Page - Thread Group 1-8,text,true,220135,177,13,13,https://new.horoscope.com/us/horoscopes/general/retail-therapy-horoscope.aspx?sign=3,577,295
606,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=12,200,OK,Birthday Page - Thread Group 1-4,text,true,230343,177,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=12,467,303
504,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=11,200,OK,Birthday Page - Thread Group 1-5,text,true,230273,177,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=11,395,253
2933,/us/horoscopes/yearly/2023-horoscope-cancer.aspx,200,OK,Birthday Page - Thread Group 1-7,text,false,205317,166,13,13,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-cancer.aspx,2798,302
773,/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=10,200,OK,Birthday Page - Thread Group 1-13,text,true,230316,177,13,13,https://new.horoscope.com/us/horoscopes/love/horoscope-love-daily-today.aspx?sign=10,628,303
602,/us/horoscopes/money/horoscope-money-weekly.aspx?sign=11,200,OK,Birthday Page - Thread Group 1-10,text,true,219967,174,13,13,https://new.horoscope.com/us/horoscopes/money/horoscope-money-weekly.aspx?sign=11,462,288
595,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=9,200,OK,Birthday Page - Thread Group 1-11,text,true,230075,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=9,452,290
568,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=8,200,OK,Birthday Page - Thread Group 1-2,text,true,229608,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=8,429,279
620,/us/horoscopes/money/horoscope-money-weekly.aspx?sign=12,200,OK,Birthday Page - Thread Group 1-9,text,true,219956,174,14,14,https://new.horoscope.com/us/horoscopes/money/horoscope-money-weekly.aspx?sign=12,483,294
564,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=6,200,OK,Birthday Page - Thread Group 1-4,text,true,229624,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=6,425,257
544,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=7,200,OK,Birthday Page - Thread Group 1-7,text,true,230180,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=7,398,256
568,/us/horoscopes/money/horoscope-money-weekly.aspx?sign=10,200,OK,Birthday Page - Thread Group 1-5,text,true,220526,174,14,14,https://new.horoscope.com/us/horoscopes/money/horoscope-money-weekly.aspx?sign=10,434,278
549,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=5,200,OK,Birthday Page - Thread Group 1-14,text,true,229577,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=5,404,259
575,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=3,200,OK,Birthday Page - Thread Group 1-11,text,true,230013,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=3,434,280
707,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=4,200,OK,Birthday Page - Thread Group 1-10,text,true,230025,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=4,515,288
3220,/us/horoscopes/yearly/2023-horoscope-gemini.aspx,200,OK,Birthday Page - Thread Group 1-12,text,false,205281,166,14,14,https://new.horoscope.com/us/horoscopes/yearly/2023-horoscope-gemini.aspx,3094,255
461,/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=2,200,OK,Birthday Page - Thread Group 1-7,text,true,229518,182,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-general-daily-today.aspx?sign=2,358,222
562,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=3,200,OK,Birthday Page - Thread Group 1-9,text,true,220479,176,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=3,459,221
619,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=2,200,OK,Birthday Page - Thread Group 1-4,text,true,220068,176,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=2,488,256
534,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=10,200,OK,Birthday Page - Thread Group 1-14,text,true,220650,177,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=10,430,226
578,/us/horoscopes/wellness/horoscope-wellness-daily-today.aspx?sign=8,200,OK,Birthday Page - Thread Group 1-11,text,true,229554,184,14,14,https://new.horoscope.com/us/horoscopes/wellness/horoscope-wellness-daily-today.aspx?sign=8,440,286
609,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=11,200,OK,Birthday Page - Thread Group 1-10,text,true,220322,177,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=11,473,256
648,/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=12,200,OK,Birthday Page - Thread Group 1-12,text,true,220526,177,14,14,https://new.horoscope.com/us/horoscopes/general/horoscope-what-to-watch.aspx?sign=12,514,290
571,/us/horoscopes/wellness/horoscope-wellness-daily-today.aspx?sign=9,200,OK,Birthday Page - Thread Group 1-7,text,true,229512,184,14,14,https://new.horoscope.com/us/horoscopes/wellness/horoscope-wellness-daily-today.aspx?sign=9,435,253
